count,IUPAC Name,Name,Molecular formula,SMILE,solvent,SRP (V),비고,neutral
1,"naphthalene-1,4-dione","1,4-Naphthoquinone",C10H6O2,C1=CC=C2C(=O)C=CC(=O)C2=C1,MeCN,-0.05,reactant,
2,"cyclohepta-1,3,5-triene",Tropylium,C7H7+,C1=CC=C[CH+]C=C1,MeCN,0.11,reactant,
3,"2,3,5,6-tetrachlorocyclohexa-2,5-diene-1,4-dione",Chloranil,C6Cl4O2,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,MeCN,0.38,reactant,
4,"ethene-1,1,2,2-tetracarbonitrile",Tetracyanoethylene,C6N4,C(#N)C(=C(C#N)C#N)C#N,MeCN,0.48,reactant,
5,,"bis(eta5-2,4-cyclopentadien-1-yl)-",C10H10Fe,C1=C[CH]C=C1.C1=C[CH]C=C1.[Fe],MeCN,0.16,product,
6,,"bis(eta5-2,4-cyclopentadien-1-yl)-",C10H10Fe,C1=C[CH]C=C1.C1=C[CH]C=C1.[Fe],CH2Cl2,0.27,product,
7,"2-[4-(dicyanomethylidene)cyclohexa-2,5-dien-1-ylidene]propanedinitrile","7,7,8,8-Tetracyanoquinodimethane",C12H4N4,C1=CC(=C(C#N)C#N)C=CC1=C(C#N)C#N,MeCN,0.45,reactant,
8,diphenylmethylbenzene,Tritylium,C19H15+,C1=CC=C(C=C1)[C+](C2=CC=CC=C2)C3=CC=CC=C3,MeCN,0.64,reactant,
9,2-benziodoxol-3-one,"1-Hydroxy-1,2-benziodoxol-3(1H)-one 1-oxide",C7H5IO4,C1=CC=C2C(=C1)C(=O)OI2(=O)O,0.25M HClO4,0.85,reactant,
10,,,IrCl4(PMe2Ph)2,,MeCN,1.25,reactant,
11,,,C3{C(CN)2}3,,MeCN,0.78-0.81,product,
12,,,Ni(tfd)2,,CH2Cl2,1.08,reactant,
13,hexachloroplatinum(2-),Hexachloroplatinate(2-),Cl6Pt-2,Cl[Pt-2](Cl)(Cl)(Cl)(Cl)Cl,H2O,1.06,reactant,
14,,,Fe(η-C5H4COMe)2,,CH2Cl2,1.24,product,
15,iron(2+);2-pyridin-2-ylpyridine,"tris(2,2'-bipyridine)iron(II)","C30H24FeN6+2",C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Fe+2],MeCN,1.41,product,
16,,,N2C6H4F-4,,MeCN,0.68,product,
17,,,N2C6H4NO2-4,,sulfolane,0.8,product,
18,"(Z)-1,1,1,4,4,4-hexafluorobut-2-ene-2,3-dithiolate;molybdenum","Molybdenum tris(1,2-bis(trifluoromethyl)ethane-1,2-dithiolene)",C12F18MoS6-6,C(=C(\[S-])/C(F)(F)F)(\[S-])/C(F)(F)F.C(=C(\[S-])/C(F)(F)F)(\[S-])/C(F)(F)F.C(=C(\[S-])/C(F)(F)F)(\[S-])/C(F)(F)F.[Mo],MeCN,1.3,reactant,
19,iodate,Iodate,IO3-,[O-]I(=O)=O,HClO4,1.39,reactant,
20,"4,5-dichloro-3,6-dioxocyclohexa-1,4-diene-1,2-dicarbonitrile","2,3-Dichloro-5,6-dicyano-1,4-benzoquinone",C8Cl2N2O2,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,MeCN,0.88,reactant,
21,,,Fe(η-C5H4COMe)Cp,,CH2Cl2,1.02,product,
22,1-methyl-4-(1-methylpyridin-1-ium-4-yl)pyridin-1-ium,Paraquat,C12H14N2+2,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,MeCN,1.3,reactant,
23,"cyclopenta-1,3-diene;cyclopentane;iron","Di-2,4-cyclopentadien-1-yliron",C10H10Fe-6,[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1C=CC=C1.[Fe],-,0.75,product,
24,,TEMPO,C9H18NO,CC1(CCCC(N1[O])(C)C)C,MeCN,1.02,reactant,
25,copper;trifluoromethanesulfonate,Copper(II) trifluoromethanesulfonate,C2CuF6O6S2,C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].[Cu+2],MeCN,1.15,reactant,
26,,,N(4-C6H2Br)3,,CH2Cl2,1.45,product,
27,oxido-(oxido(dioxo)chromio)oxy-dioxochromium,Dichromate ion,Cr2O7-2,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-],HClO4,1.49,reactant,
28,hexachlorotungsten,Tungsten hexachloride,Cl6W,Cl[W](Cl)(Cl)(Cl)(Cl)Cl,CH2Cl2,1.85,reactant,
29,,,"N(C6H2Br2-2,4)3",,MeCN,1.89,product,
30,azanylidyneoxidanium,Nitrilooxonium,NO+,N#[O+],MeCN,1.62,reactant,
31,azanylidyneoxidanium,Nitrilooxonium,NO+,N#[O+],CH2Cl2,1.75,reactant,
32,"1,10-phenanthroline;ruthenium(2+)","Tris(1,10-phenanthroline)ruthenium(2+)",C36H24N6Ru+2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Ru+2],MeCN,1.62,product,
33,thianthrene,Thianthrene,C12H8S2,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,MeCN,1.61,product,
34,permanganate,Permanganate Ion,MnO4-,[O-][Mn](=O)(=O)=O,HClO4,1.67,reactant,
35,iridium(3+);2-phenylpyridine,"Tris[2-phenylpyridinato-C2,N]iridium(III)",C33H24IrN3,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],MeCN,2.05,product,
36,,,"N(C6H2Br3-2,4,6)3",,MeCN,2.11,product,
37,2-pyrazin-2-ylpyrazine;ruthenium,[Ru(bpz)3][PF6]2,C24H18N12Ru,C1=CN=C(C=N1)C2=NC=CN=C2.C1=CN=C(C=N1)C2=NC=CN=C2.C1=CN=C(C=N1)C2=NC=CN=C2.[Ru],MeCN,2.65,product,
38,,,Ir(dtbppy)(bipy)2,,MeCN,2.45,product,
39,2-pyridin-2-ylpyridine;ruthenium(2+),"Tris(2,2'-bipyridyl)ruthenium(II)",C30H24N6Ru+2,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Ru+2],MeCN,2.55,product,
40,"10-methyl-9-(2,4,6-trimethylphenyl)acridin-10-ium",9-Mesityl-10-methylacridinium,C23H22N+,CC1=CC(=C(C(=C1)C)C2=C3C=CC=CC3=[N+](C4=CC=CC=C42)C)C,MeCN,3.15,reactant,여기까지 참고 4번 그림에서 구조 얻을 수 있음
41,azane;cobalt(2+),Azane;cobalt(2+),CoH18N6+2,N.N.N.N.N.N.[Co+2],water,0.108,product,
42,copper;dicyanide,Copper cyanide,C2CuN2,[C-]#N.[C-]#N.[Cu+2],water,1.103,reactant,
43,iron(2+);hexacyanide,Ferrocyanide,C6FeN6-4,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2],water,0.358,product,
44,iron(2+);2-pyridin-2-ylpyridine,"bis(2,2'-bipyridine)iron(II)",C20H16FeN4+2,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Fe+2],water,0.78,product,
45,iron(2+);2-pyridin-2-ylpyridine,"tris(2,2'-bipyridine)iron(II)","C30H24FeN6+2",C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Fe+2],water,1.03,product,15번과 구조 동일
46,"iron(2+);1,10-phenanthroline",ortho-Phenanthroline,C36H24FeN6+2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Fe+2],water,1.147,product,
47,"iron(2+);1,10-phenanthroline",ortho-Phenanthroline,C36H24FeN6+2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Fe+2],1 M H2SO4,1.06,product,
48,"cyclopenta-1,3-diene;iron(2+)","Iron, bis(eta5-2,4-cyclopentadien-1-yl)-",C10H10Fe+2,[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],water,0.4,product,
49,osmium(2+);2-pyridin-2-ylpyridine,"bis(2,2'-bipyridine)osmium(II)",C20H16N4Os+2,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Os+2],water,0.81,product,
50,osmium(2+);2-pyridin-2-ylpyridine,"tris(2,2'-bipyridine)osmium(II)",C30H24N6Os+2,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Os+2],water,0.8,product,
51,2-pyridin-2-ylpyridine;ruthenium,"Tris(2,2'-bipyridyl)ruthenium(II)",C30H24N6Ru+2,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Ru+2],water,1.24,product,39번과 구조 동일
52,,,[Ru(H2O)6]2+,,water,0.23,product,
53,azane;ruthenium(8+),hexaammineruthenium(II),H18N6Ru+8,N.N.N.N.N.N.[Ru+8],water,0.1,product,
54,"1,10-phenanthroline;ruthenium(2+)","Tris(1,10-phenanthroline)ruthenium(2+)",C36H24N6Ru+2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Ru+2],water,0.21,product,32번과 구조 동일
55,ruthenium(2+);hexacyanide,Ruthenium hexacyanide,C6N6Ru-4,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Ru+2],water,0.86,product,
56,"vanadium(2+);1,10-Phenanthroline","vanadium(2+);1,10-Phenanthroline",C36H24N6V+2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[V+2],water,0.14,product,
57,dioxouranium(2+),Dioxouranium(2+),O2U+2,O=[U+2]=O,water,0.062,reactant,
58,dioxido(dioxo)ruthenium,Dioxido(dioxo)ruthenium,O4Ru-2,[O-][Ru](=O)(=O)[O-],water,0.59,product,
59,hexachloroiridium(3-),Hexachloroiridium(3-),Cl6Ir-3,Cl[Ir-3](Cl)(Cl)(Cl)(Cl)Cl,water,0.8665,product,
60,tetraoxoruthenium,Ruthenium tetroxide,O4Ru,O=[Ru](=O)(=O)=O,water,1,reactant,